Year	Title
2017	towards human computable password
2015	publishable humanly usable secure password creation schema
2013	naturally rehearsing password
2013	gotcha password hackers!
2010	understanding inductive inference
2007	improving image search phetch
2006	peekaboom game locating object image
2006	verbosity game collecting common-sense fact
2006	improving accessibility web computer game
2004	telling human computer apart automatically
2003	captcha using hard ai problem security
2001	secure human identification protocol
1997	software reliability via run-time result-checking
1996	reflection pentium bug
1995	problem sorting burnt pancake
1995	self-correcting function field transcendental degree
1994	program result-checking theory testing meet test theory
1994	matching nut bolt
1993	designing program check work abstract
1993	checking approximate computation real
1991	noninteractive zero-knowledge
1989	reversing train turn century sorting problem
1989	program result checking adaptive program cryptographic setting
1986	independent unbiased coin flip correlated biased source-a finite stae markov chain
1986	simple unpredictable pseudo-random number generator
1983	exchange secret key
1983	exchange secret key extended abstract
1982	coin flipping telephone - protocol solving impossible problem
1981	coin flipping telephone
1977	capability finite automaton 2 3 dimensional space
1975	toward mathematical theory inductive inference
1974	almost everywhere complex recursive function
1973	complexity property recursively enumerable set
1973	inductive inference recursion theoretic approach
1972	linear time bound median computation
1967	size machine
1967	machine-independent theory complexity recursive function
1967	automaton 2-dimensional tape
