Year	Title
2016	evolving meaning information security
2009	communication surveillance privacy security risk
2008	information assurance technology forecast 2008
2008	risking communication security potential hazard protect america act
2007	internal surveillance external risk
2007	cryptography past present future
2006	chattering sigint
1994	privacy authentication wireless local area network
1992	authentication authenticated key exchange
1988	secure audio teleconference system
1985	analysis public key approach based polynomial substitution
1983	securing network end-to-end encryption v link encryption trusted system
