2000,The evolution of RISC technology at IBM.,"Abstract:
This paper traces the evolution of IBM RISC architecture from its origins in the 1970s at the IBM Thomas J. Watson Research Center to the present-day IBM RISC System/6000* computer. The acronym RISC, for Reduced Instruction-Set Computer, is used in this paper to describe the 801 and subsequent architectures. However, RISC in this context does not strictly imply a reduced number of instructions, but rather a set of primitives carefully chosen to exploit the fastest component of the storage hierarchy and provide instructions that can be generated easily by compilers. We describe how these goals were embodied in the 801 architecture and how they have since evolved on the basis of experience and new technologies. The effect of this evolution is illustrated with the results of several benchmark tests of CPU performance."
1991,Computer Architecture in the 1990s.,"Abstract:
Some of the technology that will drive the advances of the 1990s are explored. A brief tutorial is given to explain the fundamental speed limits of metal interconnections. The advantages and disadvantages of optical interconnections and where they may be used are discussed in some detail. Trends in speeding up performance by increasing data-path width and by increasing the number of operations performed are reviewed, and questions of efficiency are examined. The advent of super reliable machines produced at very low cost by replicating entire processors is examined.< >"
1990,A Statistical Approach to Machine Translation.,"In this paper, we present a statistical approach to machine translation. We describe the application of our approach to translation from French to English and give preliminary results. "
1990,The Evolution of RISC Technology at IBM.,"Abstract:
This paper traces the evolution of IBM RISC architecture from its origins in the 1970s at the IBM Thomas J. Watson Research Center to the present-day IBM RISC System/6000* computer. The acronym RISC, for Reduced Instruction-Set Computer, is used in this paper to describe the 801 and subsequent architectures. However, RISC in this context does not strictly imply a reduced number of instructions, but rather a set of primitives carefully chosen to exploit the fastest component of the storage hierarchy and provide instructions that can be generated easily by compilers. We describe how these goals were embodied in the 801 architecture and how they have since evolved on the basis of experience and new technologies. The effect of this evolution is illustrated with the results of several benchmark tests of CPU performance."
1989,Probabilistic Parsing Method for Sentence Disambiguation.,n/a
1988,Estimating Interlock and Improving Balance for Pipelined Architectures.,"Abstract
Pipelining is now a standard technique for increasing the speed of computers, particularly for floating-point arithmetic. Single-chip, pipelined floating-point functional units are available as “off the shelf” components. Addressing arithmetic can be done concurrently with floating-point operations to construct a fast processor that can exploit fine-grain parallelism. This paper describes a metric to estimate the optimal execution time of DO loops on particular processors. This metric is parameterized by the memory bandwidth and peak floating-point rate of the processor, as well as the length of the pipelines used in the functional units. Data dependence analysis provides information about the execution order constraints of the operations in the DO loop and is used to estimate the amount of pipeline interlock required by a loop. Several transformations are investigated to determine their impact on loops under this metric."
1988,A statistical approach to language translation.,"An approach to automatic translation is outlined that utilizes techniques of statistical information extraction from large databases. The method is based on the availability of pairs of large corresponding texts that are translations of each other. In our case, the texts are in English and French. Fundamental to the technique is a complex glossary of correspondence of fixed locations.The steps of the proposed translation process are: (1) Partition the source text into a set of fixed locations. (2) Use the glossary plus contextual information to select the corresponding set of fixed locations into a sequence forming the target sentence. (3) Arrange the words of the target fixed locations into a sequence forming the target sentence. We have developed statistical techniques facilitating both the automatic creation of the glossary, and the performance of the three translation steps, all on the basis of an alignment of corresponding sentences in the two texts. While we are not yet able to provide examples of French/English translation, we present some encouraging intermediate results concerning glossary creation and the arrangement of target word sequences."
1988,A Statistical Approach to French/English Translation.,"In this paper we will outline an approach to automatic translation that utilizes techniques of statistical information extraction from large data bases. These self-organizing techniques have proven successful in the field of automatic speech recognition [1,2,3]. Statistical approaches have also been used recently in lexicography [4] and natural language processing [3,5,6]. The idea of automatic translation by statistical (information theoretic) methods was proposed many years ago by Warren Weaver [7]."
1987,Estimating Interlock and Improving Balance for Pipelined Architectures.," Pipelining is now a standard technique for increasing the speed of computers, particularly for floating-point arithmetic. Single-chip, pipelined floating-point functional units are available as �off the shelf� components. Addressing arithmetic can be done concurrently with floating-point operations to construct a fast processor that can exploit fine-grain parallelism. This paper describes a metric to estimate the optimal execution time of DO loops on particular processors. This metric is parameterized by the memory bandwidth and peak floating-point rate of the processor, as well as the length of the pipelines used in the functional units. Data dependence analysis provides information about the execution order constraints of the operations in the DO loop and is used to estimate the amount of pipeline interlock required by a loop. Several transformations are investigated to determine their impact on loops under this metric."
1982,Optimization of range checking (with retrospective).,"An analysis is given for optimizing run-time range checks in regions of high execution frequency. These optimizations are accomplished using strength reduction, code motion and common subexpression elimination. Test programs, using the above optimizations, are used to illustrate run-time improvements."
