Year	Title
2018	Matrix Capsules with EM Routing
2018	Illustrative Language Understanding: Large-Scale Visual Grounding with Image Search
2018	Large scale distributed neural network training through online distillation
2018	Who Said What: Modeling Individual Labelers Improves Classification
2017	Dynamic Routing between Capsules
2017	Outrageously large neural networks: The sparsely-gated mixture-of-experts layer
2017	Distilling a Neural Network Into a Soft Decision Tree
2017	Regularizing neural networks by penalizing confident output distributions
2016	Using Fast Weights to Attend to the Recent Past
2016	Layer normalization. NIPS-2016 workshop
2016	Attend, Infer, Repeat: Fast Scene Understanding with Generative Models
2015	Deep Learning
2015	Distilling the knowledge in a neural network
2014	Dropout: A simple way to prevent neural networks from overfitting
2014	Grammar as a foreign language
2014	Where do features come from?
2014	Application of Deep Belief Networks for Natural Language Understanding
2014	Autoregressive product of multi-frame predictions can improve the accuracy of hybrid models
2013	Modeling Documents with a Deep Boltzmann Machine
2013	Vocal Tract Length Perturbation (VTLP) improves speech recognition
2013	Speech Recognition with Deep Recurrent Neural Networks
2013	Improving Deep Neural Networks for LVCSR Using Rectified Linear Units and Dropout
2013	On Rectified Linear Units for Speech Processing
2013	New types of deep neural network learning for speech recognition and related applications: An overview
2013	Modeling Natural Images Using Gated MRFs
2013	On the importance of momentum and initialization in deep learning
2013	Tensor Analyzers
2012	ImageNet Classification with Deep Convolutional Neural Networks
2012	A Better Way to Pretrain Deep Boltzmann Machines
2012	Improving neural networks by preventing co-adaptation of feature detectors
2012	Deep Neural Networks for Acoustic Modeling in Speech Recognition
2012	An Efficient Learning Procedure for Deep Boltzmann Machines
2012	Deep Lambertian Networks
2012	Learning to Label Aerial Images from Noisy Data
2012	Deep Mixtures of Factor Analysers
2012	Robust Boltzmann Machines for Recognition and Denoising
2012	"Understanding how Deep Belief Networks perform acoustic modelling"""
2012	Visualizing non-metric similarities in multiple maps
2012	Acoustic Modeling using Deep Belief Networks
2011	Generating Text with Recurrent Neural Networks
2011	A new way to learn acoustic events
2011	Conditional Restricted Boltzmann Machines for Structured Output Prediction
2011	On deep generative models with applications to recognition
2011	Modeling the joint density of two images under a variety of transformations
2011	Transforming Auto-encoders
2011	Using Very Deep Autoencoders for Content-Based Image Retrieval
2011	Learning a better Representation of Speech Sound Waves using Restricted Boltzmann Machines
2011	Deep Belief Networks using Discriminative Features for Phone Recognition
2011	Deep Belief Nets for Natural Language Call-Routing
2011	Discovering Binary Codes for Fast Document Retrieval by Learning Deep Generative Models
2010	Gated Softmax Classification
2010	Generating more realistic images using gated MRF's
2010	Phone Recognition with the Mean-Covariance Restricted Boltzmann Machine
2010	Learning to combine foveal glimpses with a third-order Boltzmann machine
2010	Binary Coding of Speech Spectrograms Using a Deep Auto-encoder
2010	Learning to represent spatial transformations with factored higher-order Boltzmann machines
2010	Rectified linear units improve restricted Boltzmann machines
2010	Learning to represent visual input
2010	Learning to detect roads in high-resolution aerial images
2010	Temporal Kernel Recurrent Neural Networks
2010	Modeling pixel means and covariances using factored third-order Boltzmann machines
2010	Dynamic binary latent variable models for 3D human pose tracking
2010	Factored 3-way restricted Boltzmann machines for modeling natural images
2010	Phone Recognition using Restricted Boltzmann Machines
2009	Deep belief networks for phone recognition
2009	Replicated Softmax: An Undirected Topic Model
2009	3-D Object recognition with deep belief nets
